City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,st. john's,47.5649,-52.7093,20.71,90,40,6.69,CA,1690258676
317,cacule,-14.5033,-42.2222,16.76,74,53,1.71,BR,1690258746
318,lautoka,-17.6167,177.4667,26.92,74,75,4.12,FJ,1690258747
319,gimcheon,36.1218,128.1198,31.62,66,75,1.54,KR,1690258668
320,san vicente de chucuri,6.881,-73.4098,25.65,83,100,1.81,CO,1690258747
321,puerto lempira,15.2667,-83.7667,26.47,85,58,3.61,HN,1690258748
322,regina,50.4501,-104.6178,26.69,67,20,6.71,CA,1690258748
323,tamanrasset,22.785,5.5228,24.95,20,1,2.57,DZ,1690258505
324,newman,37.3138,-121.0208,29.03,10,61,2.35,US,1690258749
325,port alfred,-33.5906,26.891,10.38,69,0,2.56,ZA,1690258652
326,hengchun,22.0042,120.7439,29.83,71,81,9.95,TW,1690258311
327,fort stockton,30.894,-102.8793,29.53,30,0,8.05,US,1690258750
328,tura,25.5198,90.2201,28.61,81,87,1.42,IN,1690258177
329,dudinka,69.4058,86.1778,18.68,46,41,6.67,RU,1690258169
330,sinabang,2.4803,96.3801,29.43,68,49,0.75,ID,1690258752
331,yarmouth,41.7057,-70.2286,23.33,93,0,1.34,US,1690258592
332,argo,37.6333,22.7333,25.99,42,0,1.34,GR,1690258753
333,saldanha,-33.0117,17.9442,3.03,77,0,4.32,ZA,1690258753
334,eyl,7.9803,49.8164,26.22,64,45,12.61,SO,1690258753
335,ulladulla,-35.35,150.4667,15.21,57,5,2.58,AU,1690258456
336,pacific grove,36.6177,-121.9166,19.63,77,0,3.09,US,1690258619
337,yelizovo,53.1873,158.3805,27.08,41,40,2.0,RU,1690258729
338,knottsville,37.7717,-86.9042,22.08,99,1,2.81,US,1690258755
339,montemor-o-novo,38.6481,-8.2145,12.0,96,13,3.2,PT,1690258756
340,pont rouge,48.8833,-72.0825,17.16,95,93,2.04,CA,1690258756
341,dhuusamarreeb,5.535,46.3861,24.05,68,65,10.11,SO,1690258757
342,inderbor,48.55,51.7833,25.08,48,100,5.36,KZ,1690258757
343,envira,-7.3,-70.2167,23.5,64,33,0.45,BR,1690258758
344,kerikeri,-35.2268,173.9474,14.95,84,31,1.34,NZ,1690258758
345,mount isa,-20.7333,139.5,21.87,37,52,7.72,AU,1690258171
346,papireddippatti,11.9177,78.3687,24.12,68,100,6.46,IN,1690258759
347,weno,7.4515,151.8468,30.97,79,100,2.06,FM,1690258760
348,ratnagiri,16.9833,73.3,25.89,89,100,6.89,IN,1690258760
349,kibondo,-3.5864,30.7203,15.9,58,22,1.24,TZ,1690258760
350,aykhal,66.0,111.5,17.43,67,90,3.27,RU,1690258761
351,castillos,-34.1667,-53.8333,9.95,92,100,4.78,UY,1690258761
352,rio grande,-32.035,-52.0986,12.75,93,100,9.25,BR,1690258762
353,timbuktu,16.7735,-3.0074,31.03,53,99,7.08,ML,1690258762
354,ciudad bolivar,8.1222,-63.5497,26.57,79,84,1.86,VE,1690258526
355,labuan,5.2767,115.2417,31.2,66,20,2.06,MY,1690258604
356,klaksvik,62.2266,-6.589,7.51,83,100,5.56,FO,1690258187
357,acarau,-2.8856,-40.12,25.3,83,11,6.37,BR,1690258764
358,aginskoye,51.1,114.53,24.42,50,65,2.89,RU,1690258765
359,namtsy,62.7161,129.6658,30.17,39,15,4.06,RU,1690258765
360,dolinsk,47.35,142.8,22.33,77,98,2.37,RU,1690258766
